,Instrument,Ultimate Parent Percent of Shares Out Held,Date,Investor Perm Id,Country of Headquarters
2819,CKSJ.J,1.64,2002-12-27T00:00:00Z,,
2820,CKSJ.J,1.63,2002-12-27T00:00:00Z,4297021561,
2821,CKSJ.J,1.6,2002-12-27T00:00:00Z,,
2822,CKSJ.J,1.3,2002-12-27T00:00:00Z,,
2823,CKSJ.J,1.24,2002-12-27T00:00:00Z,,
2824,CKSJ.J,1.17,2002-12-27T00:00:00Z,,
2825,CKSJ.J,1.17,2002-12-27T00:00:00Z,,
2826,CKSJ.J,1.11,2002-12-27T00:00:00Z,,
2827,CKSJ.J,0.95,2002-12-27T00:00:00Z,5055410635,
2828,CKSJ.J,0.92,2002-12-27T00:00:00Z,,
2829,CKSJ.J,0.85,2002-12-27T00:00:00Z,,
2830,CKSJ.J,0.83,2002-12-27T00:00:00Z,,
2831,CKSJ.J,0.67,2002-12-27T00:00:00Z,,
2832,CKSJ.J,0.0,2002-12-29T00:00:00Z,48471683409,
2833,CKSJ.J,0.0,2002-06-28T00:00:00Z,5035499051,
2834,CKSJ.J,0.0,2002-12-29T00:00:00Z,,
2835,CKSJ.J,0.0,2002-12-29T00:00:00Z,,
2836,CKSJ.J,0.0,2001-12-31T00:00:00Z,,
2837,CKSJ.J,0.0,2001-12-31T00:00:00Z,,
2838,CKSJ.J,0.0,2001-12-31T00:00:00Z,,
2839,CKSJ.J,0.0,2001-12-31T00:00:00Z,,
2840,CKSJ.J,0.0,2001-07-31T00:00:00Z,,
2841,CKSJ.J,0.0,2001-12-30T00:00:00Z,5000854298,
2842,CKSJ.J,0.0,2001-12-30T00:00:00Z,,
2843,CKSJ.J,0.0,2001-12-31T00:00:00Z,4297902883,
2844,CKSJ.J,,,,
2845,CKSJ.J,,,,
2846,CKSJ.J,,,,
2847,CKSJ.J,7.0,2001-12-31T00:00:00Z,5035499051,
2848,CKSJ.J,5.8333,2001-12-31T00:00:00Z,48471683409,
2849,CKSJ.J,1.05,2000-12-31T00:00:00Z,,
2850,CKSJ.J,0.0,2001-07-31T00:00:00Z,4297021561,
2851,CKSJ.J,0.0,2001-12-31T00:00:00Z,,
2852,CKSJ.J,0.0,2001-12-31T00:00:00Z,,
2853,CKSJ.J,0.0,2001-12-31T00:00:00Z,,
2854,CKSJ.J,0.0,2001-12-31T00:00:00Z,,
2855,CKSJ.J,0.0,2001-07-31T00:00:00Z,,
2856,CKSJ.J,0.0,2001-12-31T00:00:00Z,,
2857,CKSJ.J,0.0,2001-12-31T00:00:00Z,,
2858,CKSJ.J,0.0,2001-07-31T00:00:00Z,,
2859,CKSJ.J,0.0,2001-07-31T00:00:00Z,,
2860,CKSJ.J,0.0,2000-11-30T00:00:00Z,,
2861,CKSJ.J,0.0,2001-12-30T00:00:00Z,5000854298,
2862,CKSJ.J,0.0,2000-06-30T00:00:00Z,4295889079,
2863,CKSJ.J,0.0,2001-12-31T00:00:00Z,,
2864,CKSJ.J,0.0,2001-12-31T00:00:00Z,,
2865,CKSJ.J,0.0,2001-12-30T00:00:00Z,,
2866,CKSJ.J,0.0,2001-12-31T00:00:00Z,4297902883,
2867,CKSJ.J,,,,
2868,CKSJ.J,,,,
2869,CKSJ.J,,,,
2870,CKSJ.J,,,,
2871,CKSJ.J,,,,
2872,CKSJ.J,,,,
2873,CKSJ.J,,,,
2874,CKSJ.J,,,,
2875,CKSJ.J,,,,
2876,CKSJ.J,,,,
2877,CKSJ.J,,,,
2878,CKSJ.J,,,,
2879,CKSJ.J,,,,
2880,CKSJ.J,,,,
2881,CKSJ.J,,,,
2882,CKSJ.J,,,,
2883,CKSJ.J,11.34,2000-11-30T00:00:00Z,4297021561,
2884,CKSJ.J,8.33,2000-11-30T00:00:00Z,5000854298,
2885,CKSJ.J,7.0,2000-11-30T00:00:00Z,5035499051,
2886,CKSJ.J,5.83,2000-11-30T00:00:00Z,,
2887,CKSJ.J,4.98,2000-11-30T00:00:00Z,4297902883,
2888,CKSJ.J,3.37,2000-11-30T00:00:00Z,,
2889,CKSJ.J,1.67,2000-11-30T00:00:00Z,,
2890,CKSJ.J,1.53,2000-11-30T00:00:00Z,,
2891,CKSJ.J,1.5,2000-11-30T00:00:00Z,,
2892,CKSJ.J,1.24,2000-11-30T00:00:00Z,,
2893,CKSJ.J,1.17,2000-11-30T00:00:00Z,,
2894,CKSJ.J,1.11,2000-11-30T00:00:00Z,,
2895,CKSJ.J,1.05,2000-12-31T00:00:00Z,,
2896,CKSJ.J,0.85,2000-11-29T00:00:00Z,,
2897,CKSJ.J,0.0,2000-11-30T00:00:00Z,,
2898,CKSJ.J,0.0,2000-06-30T00:00:00Z,4295889079,
2899,CKSJ.J,,,,
2900,CKSJ.J,,,,
2901,CKSJ.J,,,,
2902,CKSJ.J,,,,
2903,CKSJ.J,,,,
2904,CKSJ.J,,,,
2905,CKSJ.J,,,,
2906,CKSJ.J,,,,
2907,CKSJ.J,,,,
2908,CKSJ.J,,,,
2909,CKSJ.J,,,,
2910,CKSJ.J,,,,
2911,CKSJ.J,,,,
2912,CKSJ.J,,,,
2913,CKSJ.J,,,,
2914,CKSJ.J,,,,
2915,CKSJ.J,,,,
2916,CKSJ.J,,,,
2917,CKSJ.J,,,,
2918,CKSJ.J,,,,
2919,CLHJ.J,4.28,2002-12-27T00:00:00Z,5055410026,South Africa
2920,CLHJ.J,3.5802,2002-12-27T00:00:00Z,4297369644,
2921,CLHJ.J,2.35,2001-12-31T00:00:00Z,5035475557,
2922,CLHJ.J,1.4166,2002-12-31T00:00:00Z,4298459126,
2923,CLHJ.J,1.16,2002-12-27T00:00:00Z,5043346310,
2924,CLHJ.J,0.97,2002-12-27T00:00:00Z,5000750920,
2925,CLHJ.J,0.54,2002-12-27T00:00:00Z,5035516794,
2926,CLHJ.J,0.48,2002-12-27T00:00:00Z,5043346404,
2927,CLHJ.J,0.37,2002-12-27T00:00:00Z,,
2928,CLHJ.J,0.06,2002-12-31T00:00:00Z,5001196565,
2929,CLHJ.J,0.03,2002-12-31T00:00:00Z,,
2930,CLHJ.J,0.02,2002-12-31T00:00:00Z,4298409344,
2931,CLHJ.J,0.0055,2002-12-31T00:00:00Z,5000749182,
2932,CLHJ.J,0.0048,2002-12-31T00:00:00Z,5000313307,
2933,CLHJ.J,0.0,2001-08-31T00:00:00Z,4297021561,
2934,CLHJ.J,0.0,2002-06-28T00:00:00Z,4295888650,
2935,CLHJ.J,0.0,2001-12-31T00:00:00Z,5000854298,
2936,CLHJ.J,0.0,2002-12-29T00:00:00Z,5055413119,
2937,CLHJ.J,0.0,2002-12-29T00:00:00Z,5035499104,
2938,CLHJ.J,0.0,2002-12-29T00:00:00Z,48471688242,
2939,CLHJ.J,0.0,2002-06-28T00:00:00Z,4297902883,
2940,CLHJ.J,,,,
2941,CLHJ.J,,,,
2942,CLHJ.J,38.86,2001-12-31T00:00:00Z,4295888650,
2943,CLHJ.J,12.6126,2001-12-31T00:00:00Z,5035499104,
2944,CLHJ.J,9.91,2001-12-31T00:00:00Z,4297902883,
2945,CLHJ.J,2.35,2001-12-31T00:00:00Z,5035475557,
2946,CLHJ.J,0.094,2001-12-31T00:00:00Z,4298459126,
2947,CLHJ.J,0.0,2001-08-31T00:00:00Z,4297021561,
2948,CLHJ.J,0.0,2001-12-31T00:00:00Z,5000854298,
2949,CLHJ.J,0.0,2001-12-31T00:00:00Z,5055410026,
2950,CLHJ.J,0.0,2001-03-31T00:00:00Z,,
2951,CLHJ.J,0.0,2000-09-30T00:00:00Z,,
2952,CLHJ.J,,,,
2953,CLHJ.J,,,,
2954,CLHJ.J,,,,
2955,CLHJ.J,,,,
2956,CLHJ.J,,,,
2957,CLHJ.J,,,,
2958,CLHJ.J,,,,
2959,CLHJ.J,,,,
2960,CLHJ.J,,,,
2961,CLHJ.J,,,,
2962,CLHJ.J,,,,
2963,CLHJ.J,,,,
2964,CLHJ.J,,,,
2965,CLHJ.J,48.49,2000-10-31T00:00:00Z,4295888650,
2966,CLHJ.J,18.7,2000-10-31T00:00:00Z,5035499104,
2967,CLHJ.J,8.16,2000-10-31T00:00:00Z,5000854298,
2968,CLHJ.J,5.34,2000-10-31T00:00:00Z,4297902883,
2969,CLHJ.J,0.0025,2000-12-31T00:00:00Z,,
2970,CLHJ.J,0.0,2000-08-31T00:00:00Z,4297021561,
2971,CLHJ.J,0.0,2000-09-30T00:00:00Z,,
2972,CLHJ.J,,,,
2973,CLHJ.J,,,,
2974,CLHJ.J,,,,
2975,CLHJ.J,,,,
2976,CLHJ.J,,,,
2977,CLHJ.J,,,,
2978,CLHJ.J,,,,
2979,CLHJ.J,,,,
2980,CLHJ.J,,,,
2981,CLHJ.J,,,,
2982,CLHJ.J,,,,
2983,CLHJ.J,,,,
2984,CLHJ.J,,,,
2985,CLHJ.J,,,,
2986,CLHJ.J,,,,
2987,CLHJ.J,,,,
2988,CLYD.GH,,,,Ghana
2989,MTUJ.J,0.62,2002-12-27T00:00:00Z,,South Africa
2990,MTUJ.J,0.21,2002-12-27T00:00:00Z,,
2991,MTUJ.J,0.19,2002-12-27T00:00:00Z,4298534128,
2992,MTUJ.J,0.1,2002-12-27T00:00:00Z,,
2993,MTUJ.J,0.06,2002-12-27T00:00:00Z,,
2994,MTUJ.J,0.05,2002-12-27T00:00:00Z,,
2995,MTUJ.J,0.05,2002-12-27T00:00:00Z,,
2996,MTUJ.J,0.05,2002-12-27T00:00:00Z,,
2997,MTUJ.J,0.0,2002-12-29T00:00:00Z,,
2998,MTUJ.J,0.0,2002-12-29T00:00:00Z,,
2999,MTUJ.J,0.0,2002-06-30T00:00:00Z,,
3000,MTUJ.J,0.0,2002-06-30T00:00:00Z,,
3001,MTUJ.J,30.39,2001-12-31T00:00:00Z,4298534128,
3002,MTUJ.J,25.02,2001-12-31T00:00:00Z,,
3003,MTUJ.J,24.98,2001-12-31T00:00:00Z,,
3004,MTUJ.J,,,,
3005,MTUJ.J,,,,
3006,MTUJ.J,,,,
3007,MTUJ.J,,,,
3008,MTUJ.J,,,,
3009,MTUJ.J,,,,
3010,MTUJ.J,,,,
3011,MTUJ.J,,,,
3012,MTUJ.J,,,,
3013,MTUJ.J,30.49,2000-10-31T00:00:00Z,4298534128,
3014,MTUJ.J,25.02,2000-10-31T00:00:00Z,,
3015,MTUJ.J,24.98,2000-10-31T00:00:00Z,,
3016,MTUJ.J,,,,
3017,MTUJ.J,,,,
3018,MTUJ.J,,,,
3019,MTUJ.J,,,,
3020,MTUJ.J,,,,
3021,MTUJ.J,,,,
3022,MTUJ.J,,,,
3023,MTUJ.J,,,,
3024,MTUJ.J,,,,
3025,CMHJ.J,45.54,2002-12-27T00:00:00Z,,South Africa
3026,CMHJ.J,24.92,2002-12-27T00:00:00Z,5055410548,
3027,CMHJ.J,4.94,2002-12-27T00:00:00Z,,
3028,CMHJ.J,4.91,2002-12-27T00:00:00Z,48471669190,
3029,CMHJ.J,4.02,2002-12-27T00:00:00Z,4295888848,
3030,CMHJ.J,1.4,2002-12-27T00:00:00Z,,
3031,CMHJ.J,1.37,2002-12-27T00:00:00Z,,
3032,CMHJ.J,0.84,2002-12-27T00:00:00Z,,
3033,CMHJ.J,0.64,2002-12-27T00:00:00Z,,
3034,CMHJ.J,0.29,2002-12-27T00:00:00Z,,
3035,CMHJ.J,0.26,2002-12-27T00:00:00Z,,
3036,CMHJ.J,0.24,2002-12-27T00:00:00Z,48471682078,
3037,CMHJ.J,0.23,2002-12-27T00:00:00Z,,
3038,CMHJ.J,0.0,2002-09-29T00:00:00Z,5055414341,
3039,CMHJ.J,45.54,2001-12-30T00:00:00Z,,
3040,CMHJ.J,1.46,2001-12-30T00:00:00Z,,
3041,CMHJ.J,0.0,2001-04-30T00:00:00Z,,
3042,CMHJ.J,0.0,2001-08-31T00:00:00Z,48471669190,
3043,CMHJ.J,0.0,2001-08-31T00:00:00Z,5055410548,
3044,CMHJ.J,0.0,2001-08-31T00:00:00Z,4295888848,
3045,CMHJ.J,,,,
3046,CMHJ.J,,,,
3047,CMHJ.J,,,,
3048,CMHJ.J,,,,
3049,CMHJ.J,,,,
3050,CMHJ.J,,,,
3051,CMHJ.J,,,,
3052,CMHJ.J,,,,
3053,CMHJ.J,45.54,2000-09-30T00:00:00Z,,
3054,CMHJ.J,24.89,2000-09-30T00:00:00Z,5055410548,
3055,CMHJ.J,8.11,1999-08-31T00:00:00Z,4295888848,
3056,CMHJ.J,4.91,2000-09-30T00:00:00Z,48471669190,
3057,CMHJ.J,1.36,2000-09-30T00:00:00Z,,
3058,CMHJ.J,1.09,2000-09-30T00:00:00Z,,
3059,CMHJ.J,0.0,1999-12-31T00:00:00Z,,
3060,CMHJ.J,,,,
3061,CMHJ.J,,,,
3062,CMHJ.J,,,,
3063,CMHJ.J,,,,
3064,CMHJ.J,,,,
3065,CMHJ.J,,,,
3066,CMHJ.J,,,,
3067,CMLJ.J,,,,South Africa
3068,CMLT.GH,,,,Ghana
3069,CMOJ.J,,,,South Africa
3070,CNDJ.J,37.28,2002-12-27T00:00:00Z,5055414021,South Africa
3071,CNDJ.J,13.52,2002-12-27T00:00:00Z,48471680176,
3072,CNDJ.J,8.47,2002-12-27T00:00:00Z,,
3073,CNDJ.J,3.7131,2002-12-27T00:00:00Z,5055410444,
3074,CNDJ.J,3.14,2002-12-27T00:00:00Z,48471689692,
3075,CNDJ.J,0.0069,2002-12-31T00:00:00Z,,
3076,CNDJ.J,0.0,2002-12-29T00:00:00Z,,
3077,CNDJ.J,0.0,2002-12-29T00:00:00Z,,
3078,CNDJ.J,0.0,2002-12-29T00:00:00Z,,
3079,CNDJ.J,0.0,2002-09-29T00:00:00Z,,
3080,CNDJ.J,0.0,2002-12-29T00:00:00Z,,
3081,CNDJ.J,0.0,2002-12-29T00:00:00Z,,
3082,CNDJ.J,0.0,2002-12-29T00:00:00Z,,
3083,CNDJ.J,0.0,2002-12-29T00:00:00Z,48471687056,
3084,CNDJ.J,0.0,2002-12-29T00:00:00Z,48471687538,
3085,CNDJ.J,0.0,2002-12-29T00:00:00Z,5043345767,
3086,CNDJ.J,0.0,2002-12-29T00:00:00Z,,
3087,CNDJ.J,0.0,2002-09-29T00:00:00Z,,
3088,CNDJ.J,0.0,2002-12-29T00:00:00Z,,
3089,CNDJ.J,0.0,2002-12-29T00:00:00Z,,
3090,CNDJ.J,28.51,2001-12-31T00:00:00Z,5055414021,
3091,CNDJ.J,0.0659,2001-12-31T00:00:00Z,,
3092,CNDJ.J,,,,
3093,CNDJ.J,,,,
3094,CNDJ.J,,,,
3095,CNDJ.J,,,,
3096,CNDJ.J,,,,
3097,CNDJ.J,,,,
3098,CNDJ.J,,,,
3099,CNDJ.J,,,,
3100,CNDJ.J,,,,
3101,CNDJ.J,,,,
3102,CNDJ.J,,,,
3103,CNDJ.J,,,,
3104,CNDJ.J,,,,
3105,CNDJ.J,,,,
3106,CNDJ.J,,,,
3107,CNDJ.J,,,,
3108,CNDJ.J,,,,
3109,CNDJ.J,,,,
3110,CNDJ.J,0.0,2000-06-30T00:00:00Z,,
3111,CNDJ.J,,,,
3112,CNDJ.J,,,,
3113,CNDJ.J,,,,
3114,CNDJ.J,,,,
3115,CNDJ.J,,,,
3116,CNDJ.J,,,,
3117,CNDJ.J,,,,
3118,CNDJ.J,,,,
3119,CNDJ.J,,,,
3120,CNDJ.J,,,,
3121,CNDJ.J,,,,
3122,CNDJ.J,,,,
3123,CNDJ.J,,,,
3124,CNDJ.J,,,,
3125,CNDJ.J,,,,
3126,CNDJ.J,,,,
3127,CNDJ.J,,,,
3128,CNDJ.J,,,,
3129,CNDJ.J,,,,
3130,CONFDIN.LG,,,,Nigeria
3131,CORNERS.LG,,,,Nigeria
3132,COSTAIN.LG,,,,Nigeria
3133,AICO.ZI,,,,Zimbabwe
3134,CPC.GH,,,,Ghana
3135,CPIJ.J,44.7,2002-12-27T00:00:00Z,4295888631,South Africa
3136,CPIJ.J,1.92,2002-12-27T00:00:00Z,5043433735,
3137,CPIJ.J,1.3177,2002-09-27T00:00:00Z,5055419620,
3138,CPIJ.J,0.79,2002-12-27T00:00:00Z,5043346471,
3139,CPIJ.J,0.79,2002-12-27T00:00:00Z,5055412323,
3140,CPIJ.J,0.79,2002-12-27T00:00:00Z,5043432766,
3141,CPIJ.J,0.6,2002-12-27T00:00:00Z,,
3142,CPIJ.J,0.58,2002-12-27T00:00:00Z,5055409180,
3143,CPIJ.J,0.47,2002-12-27T00:00:00Z,,
3144,CPIJ.J,0.37,2002-06-28T00:00:00Z,,
3145,CPIJ.J,0.39,2002-12-27T00:00:00Z,34413956593,
3146,CPIJ.J,0.38,2002-12-27T00:00:00Z,,
3147,CPIJ.J,0.37,2002-12-27T00:00:00Z,5055410699,
3148,CPIJ.J,0.37,2002-12-27T00:00:00Z,5055410630,
3149,CPIJ.J,0.37,2002-12-27T00:00:00Z,4297369644,
3150,CPIJ.J,0.0032,2002-12-31T00:00:00Z,,
3151,CPIJ.J,0.0,2002-12-29T00:00:00Z,48471688492,
3152,CPIJ.J,0.0,2002-12-29T00:00:00Z,,
3153,CPIJ.J,0.0,2002-12-29T00:00:00Z,5055407653,
3154,CPIJ.J,0.0,2002-12-29T00:00:00Z,5055419228,
3155,CPIJ.J,0.0,2002-09-29T00:00:00Z,,
3156,CPIJ.J,0.0,2002-09-29T00:00:00Z,,
3157,CPIJ.J,0.0,2002-06-30T00:00:00Z,,
3158,CPIJ.J,,,,
3159,CPIJ.J,,,,
3160,CPIJ.J,,,,
3161,CPIJ.J,,,,
3162,CPIJ.J,,,,
3163,CPIJ.J,,,,
3164,CPIJ.J,,,,
3165,CPIJ.J,,,,
3166,CPIJ.J,,,,
3167,CPIJ.J,,,,
3168,CPIJ.J,,,,
3169,CPIJ.J,,,,
3170,CPIJ.J,,,,
3171,CPIJ.J,,,,
3172,CPIJ.J,,,,
3173,CPIJ.J,,,,
3174,CPIJ.J,,,,
3175,CPIJ.J,,,,
3176,CPIJ.J,,,,
3177,CPIJ.J,,,,
3178,CPIJ.J,,,,
3179,CPIJ.J,,,,
3180,CPIJ.J,,,,
3181,CPIJ.J,,,,
3182,CPIJ.J,,,,
3183,CPIJ.J,,,,
3184,CPIJ.J,,,,
3185,CPIJ.J,,,,
3186,CPIJ.J,,,,
3187,CPIJ.J,,,,
3188,CPIJ.J,,,,
3189,CPIJ.J,,,,
3190,CPIJ.J,,,,
3191,CPIJ.J,,,,
3192,CPIJ.J,,,,
3193,CPIJ.J,,,,
3194,CPIJ.J,,,,
3195,CPIJ.J,,,,
3196,CPIJ.J,,,,
3197,CPIJ.J,,,,
3198,CPIJ.J,,,,
3199,CPIJ.J,,,,
3200,CPIJ.J,,,,
3201,CPIJ.J,,,,
3202,CPIJ.J,,,,
3203,CPIJ.J,,,,
3204,CRUSADE.LG,,,,Nigeria
3205,CSBJ.J,17.52,2002-12-27T00:00:00Z,5035474046,South Africa
3206,CSBJ.J,6.46,2002-12-27T00:00:00Z,5035506572,
3207,CSBJ.J,4.73,2002-12-27T00:00:00Z,34413353095,
3208,CSBJ.J,4.15,2002-12-27T00:00:00Z,34424743778,
3209,CSBJ.J,4.15,2002-12-27T00:00:00Z,,
3210,CSBJ.J,4.15,2002-12-27T00:00:00Z,,
3211,CSBJ.J,2.41,2002-12-27T00:00:00Z,,
3212,CSBJ.J,1.57,2002-12-27T00:00:00Z,5001449682,
3213,CSBJ.J,1.41,2002-12-27T00:00:00Z,,
3214,CSBJ.J,1.33,2002-12-27T00:00:00Z,,
3215,CSBJ.J,1.03,2002-12-27T00:00:00Z,5055412142,
3216,CSBJ.J,0.78,2002-12-27T00:00:00Z,5055415478,
3217,CSBJ.J,0.56,2002-06-28T00:00:00Z,,
3218,CSBJ.J,0.54,2002-12-27T00:00:00Z,,
3219,CSBJ.J,0.47,2002-06-28T00:00:00Z,,
3220,CSBJ.J,0.43,2002-12-31T00:00:00Z,4298459126,
3221,CSBJ.J,0.43,2002-06-28T00:00:00Z,34413518896,
3222,CSBJ.J,0.43,2002-06-28T00:00:00Z,,
3223,CSBJ.J,0.0,2001-07-31T00:00:00Z,4297021561,
3224,CSBJ.J,0.0,2002-06-30T00:00:00Z,,
3225,CSBJ.J,0.0,2001-07-31T00:00:00Z,5001446537,
3226,CSBJ.J,0.0,2001-07-31T00:00:00Z,5000854298,
3227,CSBJ.J,0.0,2001-07-31T00:00:00Z,5055415176,
3228,CSBJ.J,,,,
3229,CSBJ.J,6.46,2001-07-31T00:00:00Z,5035506572,
3230,CSBJ.J,0.43,2001-12-31T00:00:00Z,4298459126,
3231,CSBJ.J,0.1,2001-12-31T00:00:00Z,,
3232,CSBJ.J,0.0,2001-07-31T00:00:00Z,4297021561,
3233,CSBJ.J,0.0,2001-07-31T00:00:00Z,34424743778,
3234,CSBJ.J,0.0,2001-07-31T00:00:00Z,,
3235,CSBJ.J,0.0,2001-07-31T00:00:00Z,,
3236,CSBJ.J,0.0,2001-07-31T00:00:00Z,,
3237,CSBJ.J,0.0,2001-12-31T00:00:00Z,,
3238,CSBJ.J,0.0,2001-07-31T00:00:00Z,5001446537,
3239,CSBJ.J,0.0,2001-07-31T00:00:00Z,5000854298,
3240,CSBJ.J,0.0,2001-07-31T00:00:00Z,5055415176,
3241,CSBJ.J,0.0,2001-07-31T00:00:00Z,5035474046,
3242,CSBJ.J,0.0,2001-01-31T00:00:00Z,4297902883,
3243,CSBJ.J,,,,
3244,CSBJ.J,,,,
3245,CSBJ.J,,,,
3246,CSBJ.J,,,,
3247,CSBJ.J,,,,
3248,CSBJ.J,,,,
3249,CSBJ.J,,,,
3250,CSBJ.J,,,,
3251,CSBJ.J,,,,
3252,CSBJ.J,,,,
3253,CSBJ.J,14.64,2000-07-31T00:00:00Z,5035474046,
3254,CSBJ.J,11.19,2000-07-31T00:00:00Z,5055415176,
3255,CSBJ.J,3.64,2000-07-31T00:00:00Z,5000854298,
3256,CSBJ.J,1.51,2000-07-31T00:00:00Z,4297902883,
3257,CSBJ.J,1.29,2000-07-31T00:00:00Z,,
3258,CSBJ.J,1.26,2000-07-31T00:00:00Z,4297021561,
3259,CSBJ.J,,,,
3260,CSBJ.J,,,,
3261,CSBJ.J,,,,
3262,CSBJ.J,,,,
3263,CSBJ.J,,,,
3264,CSBJ.J,,,,
3265,CSBJ.J,,,,
3266,CSBJ.J,,,,
3267,CSBJ.J,,,,
3268,CSBJ.J,,,,
3269,CSBJ.J,,,,
3270,CSBJ.J,,,,
3271,CSBJ.J,,,,
3272,CSBJ.J,,,,
3273,CSBJ.J,,,,
3274,CSBJ.J,,,,
3275,CSBJ.J,,,,
3276,CSBJ.J,,,,
3277,IMH.NR,,,,Kenya
3278,CUSTODIAN.LG,,,,Nigeria
3279,CUTIX.LG,,,,Nigeria
3280,DZL.ZI,,,,Zimbabwe
3281,DANGSUG.LG,,,,Nigeria
3282,DAWN.ZI,,,,Mauritius
3283,SYGEUJ.J,,,,
3284,SYGUSJ.J,,,,
3285,SYGUKJ.J,,,,
3286,SYGJPJ.J,,,,
3287,SYGWDJ.J,,,,
3288,DLTA.ZI,0.1,2001-09-30T00:00:00Z,,Zimbabwe
3289,DLTA.ZI,0.0,2002-06-30T00:00:00Z,5000064072,
3290,DLTA.ZI,,,,
3291,DLTA.ZI,0.47,2001-12-31T00:00:00Z,5000064072,
3292,DLTA.ZI,0.1,2001-09-30T00:00:00Z,,
3293,DLTA.ZI,,,,
3294,DLTA.ZI,0.0,1999-06-30T00:00:00Z,5001449043,
3295,DLTA.ZI,,,,
3296,DLTA.ZI,,,,
3297,BETAGLA.LG,,,,Greece
3298,DNMEYER.LG,,,,Nigeria
3299,DRDJ.J,,,,South Africa
3300,DSYJ.J,1.1609,2002-12-27T00:00:00Z,4297369644,South Africa
3301,DSYJ.J,0.7841,2002-12-27T00:00:00Z,,
3302,DSYJ.J,0.6823,2002-12-27T00:00:00Z,,
3303,DSYJ.J,0.6518,2002-12-27T00:00:00Z,,
3304,DSYJ.J,0.4481,2002-12-27T00:00:00Z,34424950234,
3305,DSYJ.J,0.3259,2002-12-27T00:00:00Z,5055413449,
3306,DSYJ.J,0.192,2002-12-31T00:00:00Z,4298409344,
3307,DSYJ.J,0.0592,2002-12-31T00:00:00Z,,
3308,DSYJ.J,0.0282,2002-12-31T00:00:00Z,5001196700,
3309,DSYJ.J,0.0233,2002-12-31T00:00:00Z,,
3310,DSYJ.J,0.0019,2002-12-31T00:00:00Z,5000749182,
3311,DSYJ.J,0.001,2002-12-31T00:00:00Z,5000313307,
3312,DSYJ.J,0.0,2002-12-29T00:00:00Z,,
3313,DSYJ.J,0.0,2002-03-24T00:00:00Z,34424950236,
3314,DSYJ.J,0.0,2002-03-24T00:00:00Z,34414524903,
3315,DSYJ.J,0.0,2002-09-29T00:00:00Z,,
3316,DSYJ.J,0.0,2002-03-24T00:00:00Z,,
3317,DSYJ.J,0.0,2001-12-31T00:00:00Z,5000854298,
3318,DSYJ.J,0.0,2001-04-30T00:00:00Z,4297636693,
3319,DSYJ.J,0.0,2002-09-29T00:00:00Z,5055414341,
3320,DSYJ.J,0.0,2002-09-29T00:00:00Z,48471682378,
3321,DSYJ.J,0.0,2001-08-31T00:00:00Z,4297902883,
3322,DSYJ.J,,,,
3323,DSYJ.J,5.3722,2001-12-31T00:00:00Z,34424950236,
3324,DSYJ.J,0.1952,2001-12-31T00:00:00Z,4298409344,
3325,DSYJ.J,0.1343,2001-12-31T00:00:00Z,34414524903,
3326,DSYJ.J,0.1136,2001-12-31T00:00:00Z,,
3327,DSYJ.J,0.0686,2001-12-31T00:00:00Z,,
3328,DSYJ.J,0.0085,2001-12-31T00:00:00Z,,
3329,DSYJ.J,0.0034,2001-12-31T00:00:00Z,5000313307,
3330,DSYJ.J,0.0015,2001-12-31T00:00:00Z,,
3331,DSYJ.J,0.0,2001-08-31T00:00:00Z,,
3332,DSYJ.J,0.0,2001-12-31T00:00:00Z,5000854298,
3333,DSYJ.J,0.0,2001-08-31T00:00:00Z,,
3334,DSYJ.J,0.0,2001-04-30T00:00:00Z,4297636693,
3335,DSYJ.J,0.0,2001-08-31T00:00:00Z,48471682378,
3336,DSYJ.J,0.0,2001-08-31T00:00:00Z,4297902883,
3337,DSYJ.J,,,,
3338,DSYJ.J,,,,
3339,DSYJ.J,,,,
3340,DSYJ.J,,,,
3341,DSYJ.J,,,,
3342,DSYJ.J,,,,
3343,DSYJ.J,,,,
3344,DSYJ.J,,,,
3345,DSYJ.J,,,,
3346,DSYJ.J,5.7656,2000-10-31T00:00:00Z,5000854298,
3347,DSYJ.J,4.7118,2000-10-31T00:00:00Z,34424950236,
3348,DSYJ.J,1.3578,2000-10-31T00:00:00Z,48471682378,
3349,DSYJ.J,1.3375,2000-10-31T00:00:00Z,34414524903,
3350,DSYJ.J,1.1552,2000-10-31T00:00:00Z,4297902883,
3351,DSYJ.J,1.0842,2000-10-31T00:00:00Z,,
3352,DSYJ.J,1.0437,2000-10-31T00:00:00Z,,
3353,DSYJ.J,0.7014,2000-10-31T00:00:00Z,4297636693,
3354,DSYJ.J,0.1714,2000-12-31T00:00:00Z,4298409344,
3355,DSYJ.J,0.0898,2000-12-31T00:00:00Z,,
3356,DSYJ.J,0.011,2000-12-31T00:00:00Z,,
3357,DSYJ.J,0.0065,2000-12-31T00:00:00Z,5000313307,
3358,DSYJ.J,0.0017,2000-12-31T00:00:00Z,,
3359,DSYJ.J,,,,
3360,DSYJ.J,,,,
3361,DSYJ.J,,,,
3362,DSYJ.J,,,,
3363,DSYJ.J,,,,
3364,DSYJ.J,,,,
3365,DSYJ.J,,,,
3366,DSYJ.J,,,,
3367,DSYJ.J,,,,
3368,DSYJ.J,,,,
3369,DTCJ.J,10.4913,2002-12-27T00:00:00Z,4297369644,South Africa
