		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)
VARIABLES	LABELS	Own Home	Own Home	Own Home	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE
																						
202.investortypedescriptionid	Investor Type Description ID = 202	0.895	0.691	0.0725	0.895	0.691	0.0725	0.977	0.708	0.113	0.977	0.708	0.113	0.977	0.708	0.113	0.977	0.708	0.113	0.952	0.673	0.0979
		(0.934)	(0.865)	(0.356)	(0.934)	(0.865)	(0.356)	(0.921)	(0.846)	(0.336)	(0.921)	(0.846)	(0.336)	(0.921)	(0.846)	(0.336)	(0.921)	(0.846)	(0.336)	(0.928)	(0.851)	(0.332)
301.investortypedescriptionid	Investor Type Description ID = 301	-2.272***	-1.982***	-0.174***	-2.272***	-1.982***	-0.174***	-2.254***	-1.942***	-0.165***	-2.254***	-1.942***	-0.165***	-2.254***	-1.942***	-0.165***	-2.254***	-1.942***	-0.165***	-2.260***	-1.951***	-0.140***
		(0.0312)	(0.0290)	(0.0122)	(0.0312)	(0.0290)	(0.0122)	(0.0308)	(0.0284)	(0.0116)	(0.0308)	(0.0284)	(0.0116)	(0.0308)	(0.0284)	(0.0116)	(0.0308)	(0.0284)	(0.0116)	(0.0311)	(0.0286)	(0.0115)
302.investortypedescriptionid	Investor Type Description ID = 302	-1.646***	-1.402***	-0.156***	-1.646***	-1.402***	-0.156***	-1.616***	-1.362***	-0.142***	-1.616***	-1.362***	-0.142***	-1.616***	-1.362***	-0.142***	-1.616***	-1.362***	-0.142***	-1.632***	-1.374***	-0.152***
		(0.0452)	(0.0420)	(0.0176)	(0.0452)	(0.0420)	(0.0176)	(0.0448)	(0.0412)	(0.0167)	(0.0448)	(0.0412)	(0.0167)	(0.0448)	(0.0412)	(0.0167)	(0.0448)	(0.0412)	(0.0167)	(0.0454)	(0.0418)	(0.0166)
303.investortypedescriptionid	Investor Type Description ID = 303	-2.315***	-2.045***	-0.147***	-2.315***	-2.045***	-0.147***	-2.255***	-1.947***	-0.161***	-2.255***	-1.947***	-0.161***	-2.255***	-1.947***	-0.161***	-2.255***	-1.947***	-0.161***	-2.315***	-2.005***	-0.145***
		(0.0301)	(0.0279)	(0.0118)	(0.0301)	(0.0279)	(0.0118)	(0.0297)	(0.0274)	(0.0112)	(0.0297)	(0.0274)	(0.0112)	(0.0297)	(0.0274)	(0.0112)	(0.0297)	(0.0274)	(0.0112)	(0.0300)	(0.0276)	(0.0111)
304.investortypedescriptionid	Investor Type Description ID = 304	-0.909***	-0.932***	-0.0737**	-0.909***	-0.932***	-0.0737**	-0.776***	-0.769***	-0.0781**	-0.776***	-0.769***	-0.0781**	-0.776***	-0.769***	-0.0781**	-0.776***	-0.769***	-0.0781**	-0.748***	-0.774***	-0.0611**
		(0.0813)	(0.0753)	(0.0319)	(0.0813)	(0.0753)	(0.0319)	(0.0808)	(0.0742)	(0.0304)	(0.0808)	(0.0742)	(0.0304)	(0.0808)	(0.0742)	(0.0304)	(0.0808)	(0.0742)	(0.0304)	(0.0808)	(0.0742)	(0.0297)
