,Instrument,Exchange Name,Return On Assets - Actual,Company Name,Country of Headquarters,Date,Revenue from Business Activities - Total,Exchange Rate,Financial Period Absolute,Period End Date,Currency,Reported Currency,Organization Ultimate Parent,Country of Headquarters,NAICS Sector Name,NAICS Sector Code,NAICS Subsector Name,NAICS Subsector Code,SIC Industry Name,SIC Industry Group Name,Ultimate Parent Id,Price Close,Earnings Per Share - Mean,Net Income after Tax,Company Market Capitalization,P/E (Daily Time Series Ratio)
23165,SURJ.J,,,,,2015-06-30T00:00:00Z,50341720.85,0.082203717,FY2015,6/30/15,USD,ZAR,,,,,,,,,,2.171199431,,11834458.15,235533724.8,23.16690245
23166,SURJ.J,,,,,2016-06-30T00:00:00Z,43124591.28,0.068119891,FY2016,6/30/16,USD,ZAR,,,,,,,,,,2.334117441,,12236239.78,253207221.4,18.38193122
23167,SURJ.J,,,,,2017-06-30T00:00:00Z,49665532.36,0.076642448,FY2017,6/30/17,USD,ZAR,,,,,,,,,,2.225387217,,10269398.2,241412066,20.28218045
23168,SURJ.J,,,,,2018-06-30T00:00:00Z,64987939.52,0.072873019,FY2018,6/30/18,USD,ZAR,,,,,,,,,,1.554299415,,11720677.72,168611839.8,13.80822054
23169,SURJ.J,,,,,2019-06-30T00:00:00Z,67132726.51,0.07105654,FY2019,6/30/19,USD,ZAR,,,,,,,,,,1.888584164,,12346997.51,173297143.6,15.01205471
23170,SURJ.J,,,,,2020-06-30T00:00:00Z,43970902.37,0.057733387,FY2020,6/30/20,USD,ZAR,,,,,,,,,,1.107041218,,4105998.499,101728619.9,23.43952717
23171,SURJ.J,,,,,2021-06-30T00:00:00Z,126506560.3,0.070088873,FY2021,6/30/21,USD,ZAR,,,,,,,,,,1.403718126,,6955970.17,127174131.6,20.35166957
23172,SURJ.J,,,,,2022-06-30T00:00:00Z,146951327.4,0.061455261,FY2022,6/30/22,USD,ZAR,,,,,,,,,,1.293782786,,7887168.142,117730264.2,18.3749833
23173,WEZJ.J,JOHANNESBURG STOCK EXCHANGE,,Wesizwe Platinum Ltd,South Africa,1996-12-31T00:00:00Z,,,FY1996,12/31/96,USD,,Wesizwe Platinum Ltd,South Africa,"Mining, Quarrying, and Oil and Gas Extraction",21,Mining (except Oil and Gas),212,,,4295889205,,,,,
23174,WEZJ.J,,,,,1997-12-31T00:00:00Z,,,FY1997,12/31/97,USD,,,,,,,,,,,,,,,
23175,WEZJ.J,,,,,1998-12-31T00:00:00Z,,,FY1998,12/31/98,USD,,,,,,,,,,,,,,,
