,Instrument,Ultimate Parent Percent of Shares Out Held,Date,Investor Id,Investor Type Description ID,Investor Perm Id,Country of Headquarters,Fund Investment Style Code
233,STXNDQJ.J,,,,,,,
234,LBRJ.J,,,,,,South Africa,
235,DIGICUT.GH,,,,,,Ghana,
236,FTHJ.J,,,,,,South Africa,
237,AEIBy.MZ,,,,,,Egypt,
238,4ANWKH.4AX,,,,,,South Africa,
239,4AHWP.4AX,,,,,,South Africa,
240,4AASP.4AX,,,,,,South Africa,
241,NFEMODJ.J,,,,,,,
242,NFEHGEJ.J,,,,,,,
243,NFEDEFJ.J,,,,,,,
244,MTNN.LG,,,,,,South Africa,
245,ETFBNDJ.J,,,,,,,
246,NFNAMA.NM,,,,,,,
247,STXGOVJ.J,,,,,,,
248,STXESGJ.J,,,,,,,
249,STXEMEJ.J,,,,,,,
250,MERGROWTH.LG,,,,,,,
251,MERVALUE.LG,,,,,,,
252,SYGESGJ.J,,,,,,,
253,MTNR.RW,,,,,,South Africa,
254,SYGEMFJ.J,,,,,,,
255,STXCAPJ.J,,,,,,,
256,STXNDAJ.J,,,,,,,
257,4AAVC.4AX,,,,,,South Africa,
258,STXHLTJ.J,,,,,,,
259,ETFSRIJ.J,,,,,,,
260,ETFEMAJ.J,,,,,,,
261,BIND.VF,,,,,,United Kingdom,
262,PHL.VF,,,,,,Zimbabwe,
263,SYGSEJ.J,,,,,,,
264,CSGOVIJ.J,,,,,,South Africa,
265,SIM.VF,,,,,,Zimbabwe,
266,NED.VF,,,,,,Zimbabwe,
267,ZZDJ.J,,,,,,South Africa,
268,NTFD.VF,,,,,,Zimbabwe,
269,4AGFR1O.4AX,,,,,,South Africa,
270,GEREGU.LG,,,,,,Nigeria,
271,CAAJ.J,,,,,,South Africa,
272,SREE.MZ,,,,,,Mauritius,
273,ACCESSCORP.LG,,,,,,Nigeria,
274,4ABKB.4AX,,,,,,South Africa,
275,APOJ.J,,,,,,South Africa,
276,TANG.ZI,,,,,,Zimbabwe,
277,BUAFOODS.LG,,,,,,Nigeria,
278,RONCHESS.LG,,,,,,Nigeria,
279,VELG.MZ,,,,,,,
280,ANIJ.J,,,,,,South Africa,
281,MTNU.UG,,,,,,South Africa,
282,MOC.NM,,,,,,Namibia,
283,CTEL.MZ,,,,,,Mauritius,
284,NGXGROUP.LG,,,,,,Nigeria,
285,GTCO.LG,,,,,,Nigeria,
286,TGAJ.J,,,,,,South Africa,
287,SZKJ.J,,,,,,South Africa,
288,BAPLC.LG,,,,,,Nigeria,
289,HBE.NR,,,,,,Kenya,
290,HPL.MZ,,,,,,Mauritius,
291,DASPHARMA.GH,,,,,,Ghana,
292,4AGR1O.4AX,,,,,,South Africa,
293,CMR.RW,,,,,,South Africa,
294,FDHB.MV,,,,,,Malawi,
295,OMJ.NM,,,,,,Namibia,
296,MQA.NM,,,,,,Namibia,
297,SBPJ.J,,,,,,South Africa,
298,NY1J.J,,,,,,South Africa,
299,AIRTEL.MV,,,,,,India,
300,SSWJ.J,,,,,,South Africa,
301,4AIHG.4AX,,,,,,,
302,ZFCO.LZ,,,,,,Zambia,
303,ZXRPG.ZX,,,,,,South Africa,
304,BUACEMENT.LG,,,,,,Nigeria,
305,MTNZFJ.J,,,,,,South Africa,
306,SNO.NM,,,,,,South Africa,
307,FRBP01p.J^K22,,,,,,South Africa,
308,SEMA.MZ,,,,,,Mauritius,
309,ANE.NM,,,,,,Namibia,
310,JATU.TZ,,,,,,Tanzania,
311,SSUJ.J,,,,,,South Africa,
312,ACES.MZ,,,,,,Mauritius,
313,ORGT.CI,,,,,,Togo,
314,REGI.MZ,,,,,,Mauritius,
315,ENLG.MZ,,,,,,,
316,ICON.MV,,,,,,Malawi,
317,LAVA.MZ,,,,,,,
318,ACCESS.BT,,,,,,Nigeria,
319,MTHJ.J,,,,,,South Africa,
320,EHZL.ZI,,,,,,Zimbabwe,
321,MCGJ.J,,,,,,South Africa,
322,SCIL.BT,,,,,,Botswana,
323,NICO.TZ,,,,,,Tanzania,
324,EXPJ.J,,,,,,South Africa,
325,DGHJ.J,,,,,,South Africa,
326,TICL.TZ,,,,,,Tanzania,
327,KLOS.MZ,,,,,,Mauritius,
328,TSAH.MZ,,,,,,Mauritius,
329,ABL.GH,,,5454756,,,Belgium,
330,ABL.GH,0.0,1998-11-28T00:00:00Z,5454756,301,5043415975,,
331,ABOSELA.LG,,,,,,Nigeria,
332,ABPLAST.LG,,,,,,Nigeria,
333,ABSPp.J,,,,,,South Africa,
334,ACADEMY.LG,,,,,,Nigeria,
335,ACLJ.J,43.14,2000-11-30T00:00:00Z,2676461,301,5000854298,Luxembourg,Emerg. Mkts.
336,ACLJ.J,12.21,2000-11-30T00:00:00Z,2657747,114,5001449709,,Core Value
337,ACLJ.J,12.02,2000-11-30T00:00:00Z,2637186,301,4297902883,,Emerg. Mkts.
338,ACLJ.J,2.77,2000-11-30T00:00:00Z,2660881,113,4297636693,,Emerg. Mkts.
339,ACLJ.J,1.73,2000-11-30T00:00:00Z,3270352,302,,,GARP
340,ACLJ.J,0.77,2000-12-31T00:00:00Z,2004197,113,4296293277,,Emerg. Mkts.
341,ACLJ.J,0.4275,1999-12-31T00:00:00Z,2006918,301,5001218765,,Emerg. Mkts.
342,ACLJ.J,0.42,2000-12-31T00:00:00Z,2005211,113,,,Sector Specific
343,ACLJ.J,0.39,2000-12-31T00:00:00Z,2003084,303,4296555936,,Emerg. Mkts.
344,ACLJ.J,0.36,2000-09-30T00:00:00Z,2500375,113,,,Emerg. Mkts.
345,ACLJ.J,0.04,2000-12-31T00:00:00Z,2132753,107,,,Index
346,ACLJ.J,0.01,2000-12-31T00:00:00Z,2399161,107,5000313307,,Growth
347,ACLJ.J,0.0002,2000-12-31T00:00:00Z,2007596,113,4297908191,,Specialty
348,ACLJ.J,0.0,1999-12-31T00:00:00Z,2784485,107,,,Emerg. Mkts.
349,ACLJ.J,0.0,2000-12-31T00:00:00Z,2448219,110,,,Emerg. Mkts.
350,ACLJ.J,0.0,2000-12-31T00:00:00Z,2132706,107,4298459126,,Emerg. Mkts.
351,ACLJ.J,0.0,2000-09-30T00:00:00Z,2006038,107,,,Index
352,ACLJ.J,0.0,2000-12-31T00:00:00Z,2005218,107,4298409344,,Emerg. Mkts.
353,ACLJ.J,0.0,2000-09-30T00:00:00Z,2005217,113,,,Core Growth
354,ACLJ.J,0.0,2000-06-30T00:00:00Z,2005054,107,,,Growth
355,ACLJ.J,0.0,2000-09-30T00:00:00Z,2003614,107,,,Specialty
356,ACLJ.J,0.0,2000-09-30T00:00:00Z,2002484,107,5000152801,,Emerg. Mkts.
357,ACLJ.J,,,2785625,110,,,Emerg. Mkts.
358,ACLJ.J,,,2783224,107,,,Core Value
359,ACLJ.J,,,2782850,110,,,Specialty
360,ACLJ.J,,,2782849,113,,,Growth
361,ACLJ.J,,,2003974,107,,,Emerg. Mkts.
