,Instrument,Investor Shares Held,Investor Perm Id,Investor Id,Date
15569,TKGJ.J,0,5000059370,2004375,2005-06-30T00:00:00Z
15570,TKGJ.J,0,,2004252,2004-12-31T00:00:00Z
15571,TKGJ.J,0,4295856422,2003991,2004-09-30T00:00:00Z
15572,TKGJ.J,0,5000057109,2003958,2005-12-31T00:00:00Z
15573,TKGJ.J,0,5000038441,2003815,2005-12-31T00:00:00Z
15574,TKGJ.J,0,5000064072,2003708,2005-09-30T00:00:00Z
15575,TKGJ.J,0,5001448923,2003661,2004-06-30T00:00:00Z
15576,TKGJ.J,0,4296023100,2003553,2005-09-30T00:00:00Z
15577,TKGJ.J,0,,2003506,2004-12-31T00:00:00Z
15578,TKGJ.J,0,5000071468,2003477,2005-06-30T00:00:00Z
15579,TKGJ.J,0,5000051802,2003465,2004-06-30T00:00:00Z
15580,TKGJ.J,0,4296287626,2003462,2005-12-31T00:00:00Z
15581,TKGJ.J,0,5001149089,2003450,2005-07-31T00:00:00Z
15582,TKGJ.J,0,5001446686,2003433,2005-03-31T00:00:00Z
15583,TKGJ.J,0,4297777236,2003416,2005-06-30T00:00:00Z
15584,TKGJ.J,0,5000020542,2003374,2005-09-30T00:00:00Z
15585,TKGJ.J,0,5001447825,2003332,2005-12-31T00:00:00Z
15586,TKGJ.J,0,5000050470,2002561,2005-12-31T00:00:00Z
15587,TKGJ.J,0,5000677087,2002506,2004-06-25T00:00:00Z
15588,TKGJ.J,0,4296066518,2002011,2004-12-31T00:00:00Z
15589,TKGJ.J,,,2916160,
15590,TKGJ.J,,,2676455,
15591,TKGJ.J,,,2662590,
15592,TKGJ.J,,,2656244,
15593,TKGJ.J,,,2302852,
15594,TKGJ.J,,,2005043,
15595,TKGJ.J,,,2004941,
15596,TKGJ.J,219011851,5035479073,2916160,2003-03-04T00:00:00Z
15597,TKGJ.J,33961231,4297369644,2637859,2004-12-31T00:00:00Z
15598,TKGJ.J,8806781,5043447177,3644692,2004-12-31T00:00:00Z
15599,TKGJ.J,8647672,5000066393,2004359,2004-12-31T00:00:00Z
15600,TKGJ.J,6846086,5000003949,2132705,2004-12-31T00:00:00Z
15601,TKGJ.J,5459352,5001217483,2002993,2004-12-31T00:00:00Z
15602,TKGJ.J,4381550,5055410969,2664486,2004-12-31T00:00:00Z
15603,TKGJ.J,4152864,5001447645,2587535,2004-12-31T00:00:00Z
15604,TKGJ.J,3950736,5000055583,2005043,2004-06-25T00:00:00Z
15605,TKGJ.J,2414341,4297115531,2002801,2004-12-31T00:00:00Z
15606,TKGJ.J,2014719,4295888500,2007153,2004-12-31T00:00:00Z
15607,TKGJ.J,1934558,5001260512,2366069,2004-09-23T00:00:00Z
15608,TKGJ.J,1925388,4298312867,2005214,2004-12-31T00:00:00Z
15609,TKGJ.J,1679950,5000036750,2002451,2004-12-31T00:00:00Z
15610,TKGJ.J,1670977,4298110926,2003766,2004-12-31T00:00:00Z
15611,TKGJ.J,1584800,,2003504,2004-12-31T00:00:00Z
15612,TKGJ.J,1556759,5000073746,2005724,2004-12-31T00:00:00Z
15613,TKGJ.J,1532927,5043420620,2662590,2003-09-26T00:00:00Z
15614,TKGJ.J,1500000,5055420230,2658712,2004-09-23T00:00:00Z
15615,TKGJ.J,1421019,5000131279,2005221,2004-09-23T00:00:00Z
15616,TKGJ.J,1371998,4298106595,2915245,2004-12-31T00:00:00Z
15617,TKGJ.J,1282939,5000072500,2006213,2004-12-31T00:00:00Z
15618,TKGJ.J,1186838,5000035789,2668699,2004-03-26T00:00:00Z
15619,TKGJ.J,1085000,4297175221,2785553,2004-12-31T00:00:00Z
15620,TKGJ.J,979420,5040698030,2642002,2004-03-26T00:00:00Z
15621,TKGJ.J,630308,5001447825,2003332,2004-12-31T00:00:00Z
15622,TKGJ.J,610887,5001449660,2537819,2004-12-31T00:00:00Z
15623,TKGJ.J,501700,4297648458,2003410,2004-12-31T00:00:00Z
15624,TKGJ.J,486619,5000071468,2003477,2004-12-31T00:00:00Z
15625,TKGJ.J,332930,,2132753,2004-12-31T00:00:00Z
15626,TKGJ.J,316405,5000050470,2002561,2004-12-31T00:00:00Z
15627,TKGJ.J,301808,5000038441,2003815,2004-12-31T00:00:00Z
15628,TKGJ.J,293000,4296618041,2003276,2004-12-31T00:00:00Z
15629,TKGJ.J,264428,5001211262,2522976,2004-12-31T00:00:00Z
15630,TKGJ.J,261900,5000221950,2003650,2004-12-31T00:00:00Z
15631,TKGJ.J,241907,4297705417,2005011,2004-12-31T00:00:00Z
15632,TKGJ.J,215500,5000750920,2132888,2004-12-31T00:00:00Z
15633,TKGJ.J,215169,,2401341,2004-12-31T00:00:00Z
15634,TKGJ.J,171300,5000064072,2003708,2004-12-31T00:00:00Z
15635,TKGJ.J,167828,5037942824,2004488,2004-12-31T00:00:00Z
15636,TKGJ.J,165430,4296803625,2471331,2004-12-31T00:00:00Z
15637,TKGJ.J,160500,4297975279,2004125,2004-12-31T00:00:00Z
15638,TKGJ.J,158165,5000075838,2304231,2004-12-31T00:00:00Z
15639,TKGJ.J,155000,5000036827,2003457,2004-12-31T00:00:00Z
15640,TKGJ.J,140204,5000037370,2003554,2004-12-31T00:00:00Z
15641,TKGJ.J,129391,5000757289,2004247,2004-12-31T00:00:00Z
15642,TKGJ.J,128889,4297590288,2388001,2004-12-31T00:00:00Z
15643,TKGJ.J,107500,5000297003,2003396,2004-12-31T00:00:00Z
15644,TKGJ.J,101382,5000034555,2004603,2004-12-31T00:00:00Z
15645,TKGJ.J,100000,5000037247,2003621,2004-12-31T00:00:00Z
15646,TKGJ.J,93588,4296592388,2007114,2004-12-31T00:00:00Z
15647,TKGJ.J,84800,5045949691,2003354,2004-12-31T00:00:00Z
15648,TKGJ.J,70616,4296700068,2005215,2004-12-31T00:00:00Z
15649,TKGJ.J,66484,5000057206,2002818,2004-12-31T00:00:00Z
15650,TKGJ.J,62111,5000025050,2517371,2004-06-30T00:00:00Z
15651,TKGJ.J,57800,4297778724,2003579,2004-12-31T00:00:00Z
15652,TKGJ.J,56000,4297777236,2003416,2004-12-31T00:00:00Z
15653,TKGJ.J,51100,5000001154,2003828,2004-12-31T00:00:00Z
15654,TKGJ.J,50500,4295869929,2005591,2004-12-31T00:00:00Z
15655,TKGJ.J,49000,5000036839,2007086,2004-12-31T00:00:00Z
15656,TKGJ.J,44997,5000025020,2106731,2004-12-31T00:00:00Z
15657,TKGJ.J,43000,4296287626,2003462,2004-12-31T00:00:00Z
15658,TKGJ.J,42100,5000749950,2007276,2004-12-31T00:00:00Z
15659,TKGJ.J,38000,5001449682,2388005,2004-12-31T00:00:00Z
15660,TKGJ.J,37016,4298409344,2005218,2004-09-30T00:00:00Z
15661,TKGJ.J,32075,5001196216,2638781,2004-12-31T00:00:00Z
15662,TKGJ.J,31118,5000059367,2005334,2004-12-31T00:00:00Z
15663,TKGJ.J,30300,5000313307,2399161,2004-12-31T00:00:00Z
15664,TKGJ.J,30061,5000723418,2006730,2004-12-31T00:00:00Z
15665,TKGJ.J,28000,4298459126,2132706,2004-12-31T00:00:00Z
15666,TKGJ.J,25445,5000749182,2403920,2004-12-31T00:00:00Z
15667,TKGJ.J,21026,4296293277,2004197,2004-12-31T00:00:00Z
15668,TKGJ.J,19000,5001446366,2999107,2004-09-30T00:00:00Z
15669,TKGJ.J,18400,4298312723,2005228,2004-06-30T00:00:00Z
15670,TKGJ.J,16000,5000013970,2005584,2004-12-31T00:00:00Z
15671,TKGJ.J,16000,,2003436,2004-12-31T00:00:00Z
15672,TKGJ.J,14130,5001446686,2003433,2004-12-31T00:00:00Z
15673,TKGJ.J,12900,5001104987,2005709,2004-12-31T00:00:00Z
15674,TKGJ.J,11000,5000068686,2005061,2004-12-31T00:00:00Z
15675,TKGJ.J,8900,4298273743,2005761,2004-12-31T00:00:00Z
15676,TKGJ.J,7217,5037588919,2002702,2004-10-31T00:00:00Z
15677,TKGJ.J,5660,5037355479,2003434,2004-12-31T00:00:00Z
15678,TKGJ.J,3600,5000059370,2004375,2004-12-31T00:00:00Z
15679,TKGJ.J,2482,5001426959,2003665,2004-12-31T00:00:00Z
15680,TKGJ.J,2394,5000050241,2003441,2004-12-31T00:00:00Z
15681,TKGJ.J,700,4295870244,2446525,2004-12-31T00:00:00Z
15682,TKGJ.J,73,5001446718,2005048,2004-09-30T00:00:00Z
15683,TKGJ.J,0,4297271944,3676468,2004-09-23T00:00:00Z
15684,TKGJ.J,0,5055414741,2676455,2003-12-19T00:00:00Z
15685,TKGJ.J,0,5001449672,2660546,2004-03-31T00:00:00Z
15686,TKGJ.J,0,5055409115,2656244,2003-09-26T00:00:00Z
15687,TKGJ.J,0,5035514747,2655179,2004-09-23T00:00:00Z
15688,TKGJ.J,0,5000405636,2650533,2004-09-23T00:00:00Z
15689,TKGJ.J,0,4295904853,2642048,2004-11-15T00:00:00Z
15690,TKGJ.J,0,5001196700,2522977,2004-09-30T00:00:00Z
15691,TKGJ.J,0,5000020576,2499116,2004-12-31T00:00:00Z
15692,TKGJ.J,0,4297572206,2495760,2004-09-30T00:00:00Z
15693,TKGJ.J,0,5000068710,2445138,2004-06-30T00:00:00Z
15694,TKGJ.J,0,,2302852,2003-09-30T00:00:00Z
15695,TKGJ.J,0,5000051390,2007391,2004-03-31T00:00:00Z
15696,TKGJ.J,0,4297658534,2007296,2004-12-31T00:00:00Z
15697,TKGJ.J,0,5001446757,2006962,2004-06-30T00:00:00Z
15698,TKGJ.J,0,5035465245,2004941,2003-12-31T00:00:00Z
15699,TKGJ.J,0,5000021347,2004438,2004-12-31T00:00:00Z
15700,TKGJ.J,0,,2004252,2004-12-31T00:00:00Z
15701,TKGJ.J,0,4295856422,2003991,2004-09-30T00:00:00Z
15702,TKGJ.J,0,5001448923,2003661,2004-06-30T00:00:00Z
15703,TKGJ.J,0,,2003506,2004-12-31T00:00:00Z
15704,TKGJ.J,0,5000051802,2003465,2004-06-30T00:00:00Z
15705,TKGJ.J,0,5000677087,2002506,2004-06-25T00:00:00Z
15706,TKGJ.J,0,4296066518,2002011,2004-12-31T00:00:00Z
15707,TKGJ.J,,,5144101,
15708,TKGJ.J,,,3964109,
15709,TKGJ.J,,,3783830,
15710,TKGJ.J,,,3361156,
15711,TKGJ.J,,,3354647,
15712,TKGJ.J,,,3013333,
15713,TKGJ.J,,,2999300,
15714,TKGJ.J,,,2932423,
15715,TKGJ.J,,,2646143,
15716,TKGJ.J,,,2636816,
15717,TKGJ.J,,,2548659,
15718,TKGJ.J,,,2478248,
15719,TKGJ.J,,,2136931,
15720,TKGJ.J,,,2007280,
15721,TKGJ.J,,,2006396,
15722,TKGJ.J,,,2005957,
15723,TKGJ.J,,,2005224,
15724,TKGJ.J,,,2005157,
15725,TKGJ.J,,,2005060,
15726,TKGJ.J,,,2004656,
15727,TKGJ.J,,,2004633,
15728,TKGJ.J,,,2004540,
15729,TKGJ.J,,,2004187,
15730,TKGJ.J,,,2004124,
15731,TKGJ.J,,,2003958,
15732,TKGJ.J,,,2003592,
15733,TKGJ.J,,,2003553,
15734,TKGJ.J,,,2003532,
15735,TKGJ.J,,,2003481,
15736,TKGJ.J,,,2003466,
15737,TKGJ.J,,,2003450,
15738,TKGJ.J,,,2003423,
15739,TKGJ.J,,,2003374,
15740,TKGJ.J,,,2003356,
15741,TKGJ.J,,,2002611,
15742,TLMJ.J,,,,
15743,TMTJ.J,42357516,34424796173,10214199,2005-12-30T00:00:00Z
15744,TMTJ.J,35200000,,2669906,2005-12-30T00:00:00Z
15745,TMTJ.J,33227273,5035478407,2671096,2005-12-30T00:00:00Z
15746,TMTJ.J,9130243,5035519871,3699457,2005-12-30T00:00:00Z
15747,TMTJ.J,8578500,5035496980,4211186,2005-12-30T00:00:00Z
15748,TMTJ.J,5250000,5055413039,2631922,2005-12-30T00:00:00Z
15749,TMTJ.J,4000000,,3283954,2005-12-30T00:00:00Z
15750,TMTJ.J,3303200,,3279715,2005-12-30T00:00:00Z
15751,TMTJ.J,3000000,48471685547,2667007,2005-12-30T00:00:00Z
15752,TMTJ.J,1456700,,2639425,2005-12-30T00:00:00Z
15753,TMTJ.J,1237810,,3647031,2005-12-30T00:00:00Z
15754,TMTJ.J,1237810,5055410205,2668069,2005-12-30T00:00:00Z
15755,TMTJ.J,1194000,,3394851,2005-12-30T00:00:00Z
15756,TMTJ.J,1015167,,3688674,2005-12-30T00:00:00Z
15757,TMTJ.J,1000000,5055414339,2666650,2005-12-30T00:00:00Z
15758,TMTJ.J,853700,,3283960,2005-12-30T00:00:00Z
15759,TMTJ.J,747665,5043442615,3693280,2005-12-30T00:00:00Z
15760,TMTJ.J,700000,5035515939,5277826,2005-12-30T00:00:00Z
15761,TMTJ.J,658000,,3220417,2005-12-30T00:00:00Z
15762,TMTJ.J,573500,,3220347,2005-12-30T00:00:00Z
15763,TMTJ.J,500000,5055418798,3352713,2005-12-30T00:00:00Z
15764,TMTJ.J,500000,,3221895,2005-12-30T00:00:00Z
15765,TMTJ.J,480000,5055412669,2636347,2005-12-30T00:00:00Z
15766,TMTJ.J,400000,48471681724,3717953,2005-12-30T00:00:00Z
15767,TMTJ.J,,,3289702,
15768,TMTJ.J,,,3282347,
15769,TMTJ.J,,,2907015,
15770,TMTJ.J,,,2672877,
15771,TMTJ.J,,,2660703,
15772,TMTJ.J,,,2654024,
15773,TMTJ.J,,,2653284,
15774,TMTJ.J,,,2639495,
15775,TMTJ.J,,,2637214,
15776,TMTJ.J,,,2629706,
15777,TMTJ.J,35200000,,2637214,2003-06-27T00:00:00Z
15778,TMTJ.J,11792531,5035477374,2629706,2003-06-27T00:00:00Z
15779,TMTJ.J,5250000,5055413039,2631922,2003-06-27T00:00:00Z
15780,TMTJ.J,4000000,,3283954,2003-06-27T00:00:00Z
15781,TMTJ.J,3607714,5055409891,2672877,2003-06-27T00:00:00Z
15782,TMTJ.J,3253200,,3279715,2003-06-27T00:00:00Z
15783,TMTJ.J,3000000,48471685547,2667007,2003-06-27T00:00:00Z
15784,TMTJ.J,2000000,,2669906,2003-06-27T00:00:00Z
15785,TMTJ.J,1456700,,2639425,2003-06-27T00:00:00Z
15786,TMTJ.J,1150000,5001445262,2660703,2003-06-27T00:00:00Z
15787,TMTJ.J,1000000,5055414339,2666650,2003-06-27T00:00:00Z
15788,TMTJ.J,990667,5055411436,2654024,2003-06-27T00:00:00Z
15789,TMTJ.J,853700,,3283960,2003-06-27T00:00:00Z
15790,TMTJ.J,688600,,3289702,2003-06-27T00:00:00Z
15791,TMTJ.J,686000,,3282347,2003-06-27T00:00:00Z
15792,TMTJ.J,658000,,3220417,2003-06-27T00:00:00Z
15793,TMTJ.J,524700,,2639495,2003-06-27T00:00:00Z
15794,TMTJ.J,500000,5055418798,3352713,2003-06-27T00:00:00Z
15795,TMTJ.J,500000,,3221895,2003-06-27T00:00:00Z
15796,TMTJ.J,480000,5055412669,2636347,2003-06-27T00:00:00Z
15797,TMTJ.J,415000,5043432854,2907015,2003-06-27T00:00:00Z
15798,TMTJ.J,0,5043431731,2653284,2003-06-27T00:00:00Z
15799,TMTJ.J,,,5277826,
15800,TMTJ.J,,,4211186,
15801,TMTJ.J,,,3717953,
15802,TMTJ.J,,,3699457,
15803,TMTJ.J,,,3693280,
15804,TMTJ.J,,,3688674,
15805,TMTJ.J,,,3647031,
15806,TMTJ.J,,,3394851,
15807,TMTJ.J,,,3220347,
15808,TMTJ.J,,,2671096,
15809,TMTJ.J,,,2668069,
15810,TMTJ.J,,,10214199,
15811,TONJ.J,53657600,4296948644,2639800,2005-12-30T00:00:00Z
15812,TONJ.J,6836981,5000003949,2132705,2005-12-30T00:00:00Z
15813,TONJ.J,2244440,4297369644,2637859,2005-12-30T00:00:00Z
15814,TONJ.J,1481261,4295889079,2669904,2005-12-30T00:00:00Z
15815,TONJ.J,1471362,5000131279,2005221,2005-12-30T00:00:00Z
15816,TONJ.J,1249168,4298312867,2005214,2005-09-30T00:00:00Z
15817,TONJ.J,1053285,4297772128,2001973,2004-08-31T00:00:00Z
15818,TONJ.J,850158,5000750920,2132888,2005-12-30T00:00:00Z
15819,TONJ.J,813602,,3679046,2005-12-30T00:00:00Z
15820,TONJ.J,756997,5001196565,2529158,2005-12-30T00:00:00Z
15821,TONJ.J,663915,4296477482,2003356,2005-03-31T00:00:00Z
15822,TONJ.J,569057,5000723418,2006730,2005-12-30T00:00:00Z
15823,TONJ.J,548600,4297115531,2002801,2005-12-30T00:00:00Z
15824,TONJ.J,532348,5000074303,2002658,2005-12-30T00:00:00Z
15825,TONJ.J,337451,5035474173,2668130,2005-12-30T00:00:00Z
15826,TONJ.J,330113,4298311213,2999300,2005-12-31T00:00:00Z
15827,TONJ.J,307502,4298459126,2132706,2005-12-30T00:00:00Z
15828,TONJ.J,260000,5000156943,2492448,2005-12-30T00:00:00Z
15829,TONJ.J,230993,5000025050,2517371,2005-12-31T00:00:00Z
15830,TONJ.J,200000,5000061063,2003154,2004-12-31T00:00:00Z
15831,TONJ.J,174848,4298409344,2005218,2005-03-31T00:00:00Z
15832,TONJ.J,133000,5001449681,2005222,2005-09-30T00:00:00Z
15833,TONJ.J,118471,4297705417,2005011,2005-12-31T00:00:00Z
15834,TONJ.J,57750,5000659344,3783830,2005-12-31T00:00:00Z
15835,TONJ.J,56239,5001449660,2537819,2005-12-31T00:00:00Z
15836,TONJ.J,44040,5000749182,2403920,2005-12-31T00:00:00Z
15837,TONJ.J,42700,4296700068,2005215,2005-12-31T00:00:00Z
15838,TONJ.J,17000,,2932423,2005-12-31T00:00:00Z
15839,TONJ.J,15330,5000025020,2106731,2005-12-31T00:00:00Z
15840,TONJ.J,9490,5000051390,2007391,2005-12-31T00:00:00Z
15841,TONJ.J,7483,5000059367,2005334,2005-12-31T00:00:00Z
15842,TONJ.J,5300,5000001154,2003828,2005-12-31T00:00:00Z
15843,TONJ.J,3000,5001196216,2638781,2005-12-31T00:00:00Z
15844,TONJ.J,813,5000050241,2003441,2005-12-31T00:00:00Z
15845,TONJ.J,0,5001449672,2660546,2005-06-30T00:00:00Z
15846,TONJ.J,0,5000068710,2445138,2004-06-30T00:00:00Z
15847,TONJ.J,0,,2401341,2005-06-30T00:00:00Z
15848,TONJ.J,0,5000313307,2399161,2005-12-31T00:00:00Z
15849,TONJ.J,0,5001449682,2388005,2004-03-31T00:00:00Z
15850,TONJ.J,0,4297590288,2388001,2005-12-31T00:00:00Z
15851,TONJ.J,0,5001260512,2366069,2004-06-30T00:00:00Z
15852,TONJ.J,0,5000075838,2304231,2004-06-30T00:00:00Z
15853,TONJ.J,0,4295888500,2007153,2004-12-31T00:00:00Z
15854,TONJ.J,0,5000037581,2006594,2005-06-30T00:00:00Z
15855,TONJ.J,0,5000050199,2005972,2004-03-31T00:00:00Z
15856,TONJ.J,0,5000066393,2004359,2004-03-31T00:00:00Z
15857,TONJ.J,0,5000038441,2003815,2004-09-30T00:00:00Z
15858,TONJ.J,0,5000051802,2003465,2004-06-30T00:00:00Z
15859,TONJ.J,0,5000036750,2002451,2004-06-30T00:00:00Z
15860,TONJ.J,,,5139144,
15861,TONJ.J,,,3279461,
15862,TONJ.J,,,3230910,
15863,TONJ.J,,,3230908,
15864,TONJ.J,,,3230907,
15865,TONJ.J,,,3222844,
15866,TONJ.J,,,2667011,
15867,TONJ.J,,,2667009,
15868,TONJ.J,,,2652773,
15869,TONJ.J,,,2651105,
15870,TONJ.J,,,2636721,
15871,TONJ.J,,,2636647,
15872,TONJ.J,,,2635975,
15873,TONJ.J,,,2633334,
15874,TONJ.J,,,2587535,
15875,TONJ.J,,,2522977,
15876,TONJ.J,,,2463029,
15877,TONJ.J,,,2302852,
15878,TONJ.J,,,2007501,
15879,TONJ.J,,,2005213,
15880,TONJ.J,,,2004069,
15881,TONJ.J,,,2003730,
15882,TONJ.J,,,2003672,
15883,TONJ.J,,,2002506,
15884,TONJ.J,53657600,4295896494,2633334,2003-06-27T00:00:00Z
15885,TONJ.J,3726221,4297369644,2637859,2003-06-27T00:00:00Z
15886,TONJ.J,1241903,5000003949,2132705,2004-12-31T00:00:00Z
15887,TONJ.J,1053285,4297772128,2001973,2004-08-31T00:00:00Z
15888,TONJ.J,813602,,3230910,2003-06-27T00:00:00Z
15889,TONJ.J,787508,5001196565,2529158,2004-12-31T00:00:00Z
15890,TONJ.J,415119,48471689036,2667011,2003-06-27T00:00:00Z
15891,TONJ.J,388673,4298311213,2999300,2004-09-30T00:00:00Z
15892,TONJ.J,373003,48471688327,2667009,2003-06-27T00:00:00Z
15893,TONJ.J,357434,5000818638,2636647,2003-06-27T00:00:00Z
15894,TONJ.J,349380,5055410313,2651105,2003-06-27T00:00:00Z
15895,TONJ.J,310000,5001447645,2587535,2003-06-27T00:00:00Z
15896,TONJ.J,302494,4297590288,2388001,2004-12-31T00:00:00Z
15897,TONJ.J,300000,,3279461,2003-06-27T00:00:00Z
15898,TONJ.J,300000,5055410689,2636721,2003-06-27T00:00:00Z
15899,TONJ.J,280020,5000750920,2132888,2004-12-31T00:00:00Z
15900,TONJ.J,260501,48471684371,2635975,2003-06-27T00:00:00Z
15901,TONJ.J,207608,4298409344,2005218,2004-09-30T00:00:00Z
15902,TONJ.J,200000,5000061063,2003154,2004-12-31T00:00:00Z
15903,TONJ.J,113900,4298312867,2005214,2004-12-31T00:00:00Z
15904,TONJ.J,56723,,2005213,2004-06-30T00:00:00Z
