,Instrument,Ultimate Parent Percent of Shares Out Held,Date,Investor Perm Id,Country of Headquarters
341,ACLJ.J,0.36,2000-09-30T00:00:00Z,,
342,ACLJ.J,0.04,2000-12-31T00:00:00Z,,
343,ACLJ.J,0.01,2000-12-31T00:00:00Z,5000313307,
344,ACLJ.J,0.0002,2000-12-31T00:00:00Z,4297908191,
345,ACLJ.J,0.0,1999-12-31T00:00:00Z,,
346,ACLJ.J,0.0,2000-12-31T00:00:00Z,,
347,ACLJ.J,0.0,2000-12-31T00:00:00Z,4298459126,
348,ACLJ.J,0.0,2000-09-30T00:00:00Z,,
349,ACLJ.J,0.0,2000-12-31T00:00:00Z,4298409344,
350,ACLJ.J,0.0,2000-09-30T00:00:00Z,,
351,ACLJ.J,0.0,2000-06-30T00:00:00Z,,
352,ACLJ.J,0.0,2000-09-30T00:00:00Z,,
353,ACLJ.J,0.0,2000-09-30T00:00:00Z,5000152801,
354,ACLJ.J,,,,
355,ACLJ.J,,,,
356,ACLJ.J,,,,
357,ACLJ.J,,,,
358,ACLJ.J,,,,
359,ACLJ.J,,,,
360,ACLJ.J,,,,
361,ACLJ.J,37.65,1999-09-30T00:00:00Z,5000854298,
362,ACLJ.J,12.72,1999-09-30T00:00:00Z,5001449709,
363,ACLJ.J,10.8,1999-09-30T00:00:00Z,4297902883,
364,ACLJ.J,0.4275,1999-12-31T00:00:00Z,5001218765,
365,ACLJ.J,0.36,1999-09-30T00:00:00Z,,
366,ACLJ.J,0.24,1999-12-31T00:00:00Z,,
367,ACLJ.J,0.22,1999-12-31T00:00:00Z,,
368,ACLJ.J,0.18,1999-12-31T00:00:00Z,,
369,ACLJ.J,0.154,1999-12-31T00:00:00Z,4296293277,
370,ACLJ.J,0.1,1999-12-31T00:00:00Z,,
371,ACLJ.J,0.1,1999-12-31T00:00:00Z,5000152801,
372,ACLJ.J,0.0043,1999-12-31T00:00:00Z,,
373,ACLJ.J,0.0013,1999-12-31T00:00:00Z,,
374,ACLJ.J,0.0,1999-12-31T00:00:00Z,,
375,ACLJ.J,0.0,1998-12-31T00:00:00Z,,
376,ACLJ.J,0.0,1999-03-31T00:00:00Z,4298409344,
377,ACLJ.J,0.0,1998-06-30T00:00:00Z,5000001140,
378,ACLJ.J,0.0,1998-12-31T00:00:00Z,,
379,ACLJ.J,0.0,1998-12-31T00:00:00Z,5000052202,
380,ACLJ.J,,,,
381,ACLJ.J,,,,
382,ACLJ.J,,,,
383,ACLJ.J,,,,
384,ACLJ.J,,,,
385,ACLJ.J,,,,
386,ACLJ.J,,,,
387,ACLJ.J,,,,
388,ACLJ.J,,,,
389,ACLJ.J,,,,
390,ACLJ.J,37.56,1998-06-30T00:00:00Z,5000854298,
391,ACLJ.J,0.21,1998-12-31T00:00:00Z,,
392,ACLJ.J,0.1526,1998-12-31T00:00:00Z,4296293277,
393,ACLJ.J,0.12,1998-12-31T00:00:00Z,5000152801,
394,ACLJ.J,0.0022,1998-12-31T00:00:00Z,,
395,ACLJ.J,0.001,1998-12-31T00:00:00Z,4298409344,
396,ACLJ.J,0.0004,1998-12-31T00:00:00Z,,
397,ACLJ.J,0.0003,1998-06-30T00:00:00Z,,
398,ACLJ.J,0.0,1998-12-31T00:00:00Z,,
399,ACLJ.J,0.0,1998-06-30T00:00:00Z,5000001140,
400,ACLJ.J,0.0,1998-12-31T00:00:00Z,,
401,ACLJ.J,0.0,1998-12-31T00:00:00Z,5000052202,
402,ACLJ.J,,,,
403,ACLJ.J,,,,
404,ACLJ.J,,,,
405,ACLJ.J,,,,
406,ACLJ.J,,,,
407,ACLJ.J,,,,
408,ACLJ.J,,,,
409,ACLJ.J,,,,
410,ACLJ.J,,,,
411,ACLJ.J,,,,
412,ACLJ.J,,,,
413,ACLJ.J,,,,
414,ACLJ.J,,,,
415,ACLJ.J,,,,
416,ACLJ.J,,,,
417,ACLJ.J,,,,
418,ACLJ.J,,,,
419,ACTJ.J,5.369,2000-10-30T00:00:00Z,,South Africa
420,ACTJ.J,0.799,2000-10-30T00:00:00Z,5043419846,
421,ACTJ.J,0.731,2000-10-30T00:00:00Z,4297902883,
422,ACTJ.J,0.313,2000-10-30T00:00:00Z,5055409332,
423,ACTJ.J,0.106,2000-10-30T00:00:00Z,,
424,ACTJ.J,0.104,2000-10-30T00:00:00Z,,
425,ACTJ.J,0.053,2000-10-30T00:00:00Z,4295882969,
426,ACTJ.J,0.0,2000-10-30T00:00:00Z,5000854298,
427,ACTJ.J,0.0,2000-09-30T00:00:00Z,,
428,ACTJ.J,5.3685,1999-08-31T00:00:00Z,,
429,ACTJ.J,0.7988,1999-08-31T00:00:00Z,5043419846,
430,ACTJ.J,0.765,1999-08-31T00:00:00Z,4297902883,
431,ACTJ.J,0.2358,1999-08-31T00:00:00Z,5000854298,
432,ACTJ.J,0.1064,1999-08-31T00:00:00Z,,
433,ACTJ.J,0.1064,1999-08-31T00:00:00Z,5055409332,
434,ACTJ.J,0.0851,1999-08-31T00:00:00Z,,
435,ACTJ.J,,,,
436,ACTJ.J,,,,
437,ACTJ.J,5.369,1998-08-03T00:00:00Z,,
438,ACTJ.J,0.346,1998-08-03T00:00:00Z,5000854298,
439,ACTJ.J,0.274,1998-08-03T00:00:00Z,5043419846,
440,ACTJ.J,0.106,1998-08-03T00:00:00Z,,
441,ACTJ.J,,,,
442,ACTJ.J,,,,
443,ACTJ.J,,,,
444,ACTJ.J,,,,
445,ACTJ.J,,,,
446,ADHJ.J,10.9921,2000-09-30T00:00:00Z,5000854298,South Africa
447,ADHJ.J,6.7746,2000-09-30T00:00:00Z,34413364468,
448,ADHJ.J,5.6064,2000-09-30T00:00:00Z,4297902883,
449,ADHJ.J,4.0719,2000-09-30T00:00:00Z,5055412328,
450,ADHJ.J,1.5746,2000-09-30T00:00:00Z,5055419078,
451,ADHJ.J,1.0554,2000-09-30T00:00:00Z,,
452,ADHJ.J,0.9428,2000-09-30T00:00:00Z,,
453,ADHJ.J,0.6232,2000-09-30T00:00:00Z,,
454,ADHJ.J,0.0146,2000-12-31T00:00:00Z,,
455,ADHJ.J,0.0,1999-03-31T00:00:00Z,5055413527,
456,ADHJ.J,0.0,2000-09-30T00:00:00Z,4297636693,
457,ADHJ.J,0.0,2000-03-31T00:00:00Z,,
458,ADHJ.J,0.0,1999-12-31T00:00:00Z,4298409344,
459,ADHJ.J,10.8169,1999-12-31T00:00:00Z,5000854298,
460,ADHJ.J,1.827,1999-12-31T00:00:00Z,,
461,ADHJ.J,0.0038,1999-12-31T00:00:00Z,,
462,ADHJ.J,0.0,1999-03-31T00:00:00Z,5055413527,
463,ADHJ.J,0.0,1999-12-31T00:00:00Z,4297902883,
464,ADHJ.J,0.0,1999-12-31T00:00:00Z,4298409344,
465,ADHJ.J,,,,
466,ADHJ.J,,,,
467,ADHJ.J,,,,
468,ADHJ.J,,,,
469,ADHJ.J,,,,
470,ADHJ.J,,,,
471,ADHJ.J,,,,
472,ADHJ.J,4.5287,1998-08-03T00:00:00Z,5000854298,
473,ADHJ.J,2.0749,1998-08-03T00:00:00Z,4297902883,
474,ADHJ.J,1.8319,1998-08-03T00:00:00Z,5055413527,
475,ADHJ.J,0.0042,1998-12-31T00:00:00Z,,
476,ADHJ.J,,,,
477,ADHJ.J,,,,
478,ADHJ.J,,,,
479,ADHJ.J,,,,
480,ADHJ.J,,,,
481,ADHJ.J,,,,
482,ADHJ.J,,,,
483,ADHJ.J,,,,
484,ADHJ.J,,,,
485,ADRJ.J,26.62,2000-10-31T00:00:00Z,5000854298,South Africa
486,ADRJ.J,9.36,2000-10-31T00:00:00Z,4297902883,
487,ADRJ.J,0.4,2000-12-31T00:00:00Z,,
488,ADRJ.J,0.35,2000-12-31T00:00:00Z,,
489,ADRJ.J,0.13,2000-12-31T00:00:00Z,5000313307,
490,ADRJ.J,0.07,2000-12-31T00:00:00Z,4298409344,
491,ADRJ.J,0.0,1999-12-31T00:00:00Z,,
492,ADRJ.J,0.0,1999-08-31T00:00:00Z,4295888762,
493,ADRJ.J,0.0,1999-03-31T00:00:00Z,,
494,ADRJ.J,,,,
495,ADRJ.J,21.98,1999-12-31T00:00:00Z,5000854298,
496,ADRJ.J,17.46,1999-12-31T00:00:00Z,4297902883,
497,ADRJ.J,7.02,1999-12-31T00:00:00Z,,
498,ADRJ.J,0.37,1999-12-31T00:00:00Z,,
499,ADRJ.J,0.1,1999-12-31T00:00:00Z,4298409344,
500,ADRJ.J,0.07,1999-12-31T00:00:00Z,,
501,ADRJ.J,0.0,1999-12-31T00:00:00Z,,
502,ADRJ.J,0.0,1999-08-31T00:00:00Z,4295888762,
503,ADRJ.J,0.0,1999-03-31T00:00:00Z,,
504,ADRJ.J,,,,
505,ADRJ.J,23.53,1998-07-01T00:00:00Z,,
506,ADRJ.J,6.54,1998-07-01T00:00:00Z,4297902883,
507,ADRJ.J,1.93,1998-12-31T00:00:00Z,,
508,ADRJ.J,0.03,1998-12-31T00:00:00Z,4298409344,
509,ADRJ.J,,,,
510,ADRJ.J,,,,
511,ADRJ.J,,,,
512,ADRJ.J,,,,
513,ADRJ.J,,,,
514,ADRJ.J,,,,
515,ADWJ.J,23.98,2000-10-31T00:00:00Z,5043371853,South Africa
516,ADWJ.J,9.39,2000-10-31T00:00:00Z,5055410199,
517,ADWJ.J,5.78,2000-10-31T00:00:00Z,5055410200,
518,ADWJ.J,2.5,2000-10-31T00:00:00Z,5055413650,
519,ADWJ.J,2.24,2000-10-31T00:00:00Z,,
520,ADWJ.J,2.22,2000-10-31T00:00:00Z,5055374960,
521,ADWJ.J,1.95,2000-10-31T00:00:00Z,,
522,ADWJ.J,,,,
523,ADWJ.J,,,,
524,ADWJ.J,,,,
525,ADWJ.J,,,,
526,ADWJ.J,,,,
527,ADWJ.J,,,,
528,ADWJ.J,,,,
529,ADWJ.J,,,,
530,ADWJ.J,,,,
531,ADWJ.J,,,,
532,ADWJ.J,,,,
533,ADWJ.J,,,,
534,ADWJ.J,,,,
535,ADWJ.J,,,,
536,AEGJ.J,31.8,2000-10-31T00:00:00Z,5000854298,South Africa
537,AEGJ.J,17.9301,2000-10-31T00:00:00Z,4297902883,
538,AEGJ.J,2.609,2000-12-31T00:00:00Z,,
539,AEGJ.J,1.9801,2000-10-31T00:00:00Z,48471681400,
540,AEGJ.J,0.5601,2000-10-31T00:00:00Z,4297636693,
541,AEGJ.J,0.0096,2000-12-31T00:00:00Z,,
542,AEGJ.J,0.0044,2000-12-31T00:00:00Z,5000313307,
543,AEGJ.J,0.002,2000-12-31T00:00:00Z,,
544,AEGJ.J,0.0,2000-10-31T00:00:00Z,5055410695,
545,AEGJ.J,0.0,2000-09-30T00:00:00Z,4298459126,
546,AEGJ.J,0.0,2000-06-30T00:00:00Z,4298409344,
547,AEGJ.J,0.0,2000-03-31T00:00:00Z,,
548,AEGJ.J,0.2742,1999-12-31T00:00:00Z,,
549,AEGJ.J,0.0963,1999-12-31T00:00:00Z,,
550,AEGJ.J,0.0303,1999-12-31T00:00:00Z,,
551,AEGJ.J,0.0183,1999-12-31T00:00:00Z,4298409344,
552,AEGJ.J,,,,
553,AEGJ.J,,,,
554,AEGJ.J,,,,
555,AEGJ.J,,,,
556,AEGJ.J,,,,
557,AEGJ.J,,,,
558,AEGJ.J,,,,
559,AEGJ.J,,,,
560,AEGJ.J,,,,
561,AEGJ.J,,,,
562,AEGJ.J,,,,
563,AEGJ.J,,,,
564,AEGJ.J,,,,
565,AEGJ.J,,,,
566,AEGJ.J,,,,
567,AEGJ.J,,,,
568,AEGJ.J,,,,
569,AEGJ.J,,,,
570,AEGJ.J,,,,
571,AEGJ.J,,,,
572,AFEJ.J,35.8554,2000-11-30T00:00:00Z,4296948644,South Africa
573,AFEJ.J,14.1696,2000-11-30T00:00:00Z,5000854298,
574,AFEJ.J,1.1932,2000-11-30T00:00:00Z,4297902883,
575,AFEJ.J,0.9277,2000-09-30T00:00:00Z,,
576,AFEJ.J,0.5832,2000-12-31T00:00:00Z,,
577,AFEJ.J,0.4314,2000-11-30T00:00:00Z,4297636693,
578,AFEJ.J,0.1509,2000-12-31T00:00:00Z,4296293277,
579,AFEJ.J,0.0453,2000-12-31T00:00:00Z,4298409344,
580,AFEJ.J,0.0001,1999-06-30T00:00:00Z,,
581,AFEJ.J,0.0,1999-08-31T00:00:00Z,4295896494,
582,AFEJ.J,0.0,1999-03-31T00:00:00Z,,
583,AFEJ.J,0.0,1999-03-31T00:00:00Z,5000052202,
584,AFEJ.J,,,,
585,AFEJ.J,,,,
586,AFEJ.J,,,,
587,AFEJ.J,,,,
588,AFEJ.J,35.8554,1999-12-31T00:00:00Z,4296948644,
589,AFEJ.J,12.1203,1999-12-31T00:00:00Z,5000854298,
590,AFEJ.J,1.9414,1999-12-31T00:00:00Z,4297902883,
591,AFEJ.J,0.448,1999-12-31T00:00:00Z,,
592,AFEJ.J,0.4248,1999-09-30T00:00:00Z,,
593,AFEJ.J,0.0035,1998-12-31T00:00:00Z,,
594,AFEJ.J,0.0001,1999-06-30T00:00:00Z,,
595,AFEJ.J,0.0,1999-08-31T00:00:00Z,4295896494,
596,AFEJ.J,0.0,1999-03-31T00:00:00Z,,
597,AFEJ.J,0.0,1998-06-30T00:00:00Z,5000001140,
598,AFEJ.J,0.0,1998-03-31T00:00:00Z,5000071982,
599,AFEJ.J,0.0,1999-03-31T00:00:00Z,5000052202,
600,AFEJ.J,,,,
601,AFEJ.J,,,,
602,AFEJ.J,,,,
603,AFEJ.J,,,,
604,AFEJ.J,10.4688,1998-08-03T00:00:00Z,5000854298,
605,AFEJ.J,2.7031,1998-08-03T00:00:00Z,4297902883,
606,AFEJ.J,1.9347,1998-08-03T00:00:00Z,,
607,AFEJ.J,1.2931,1998-12-31T00:00:00Z,,
608,AFEJ.J,0.0136,1998-12-31T00:00:00Z,5000052202,
609,AFEJ.J,0.0035,1998-12-31T00:00:00Z,,
610,AFEJ.J,0.0028,1998-06-30T00:00:00Z,,
611,AFEJ.J,0.0,1998-06-30T00:00:00Z,5000001140,
612,AFEJ.J,0.0,1998-03-31T00:00:00Z,5000071982,
613,AFEJ.J,,,,
614,AFEJ.J,,,,
615,AFEJ.J,,,,
616,AFEJ.J,,,,
617,AFEJ.J,,,,
618,AFEJ.J,,,,
619,AFEJ.J,,,,
620,AFDS.ZI,,,,Zimbabwe
621,FMHL.ZI,,,,Zimbabwe
622,AFROIL.LG,,,,Nigeria
623,AFTJ.J,,,,South Africa
624,AGLEVEN.LG,,,,United Kingdom
625,AIICO.LG,,,,Nigeria
626,ACCS.NR,,,,Japan
627,ALEX.LG,,,,Nigeria
628,ALW.GH,0.0847,2000-12-31T00:00:00Z,5000706029,Ghana
